text,true_label,predicted_label,compound_score
"My video got approved by expo, wooh yeah, now to record loads more ",1,1,0.6124
@HeartBreakV Ha ha!!! Sorry poo  Did you go replace your screen yet?,0,1,0.6571
Crap! I just realized that Father's Day is 2 DAYS AWAY and I still haven't bought a gift. ,0,0,-0.6483
urgh looks like another hot day tomorrow ,0,1,0.3612
NADAL  FUCKING OWN THIS BASTARD ! ! !,0,0,-0.6848
@wayway8 @winningedge @marge_inovera @winningedge tks for the rt's  ,1,0,0.0
it is 7:47 and it is ****ing cold time for school grate ,0,0,0.0
one of my new favorite songs:  &quot;I Know You're There&quot; by Matthew West.   SOOOOOOOOO COOL!    www.myspace.com/matthewwest.  check it out.,1,1,0.745
"@lordlamington LOL.  ... and how she updated her pic.  Not to anything better, I must sadly point out.  ",0,0,-0.1712
Knights Lost? What a bad week for me &amp; the League  first NSW now Newcastle. Last hope is Dragons 2moro night!,0,0,-0.4926
@captainblubear yeaa its fabulous isn't it? Glad you had a good time! ,1,1,0.6264
It's official. I converted. Buddhism here I come. So far I think Theravada is amazing. Vajray?na has been enlightening as well. ,1,1,0.8481
Wonderful company and beautiful sights! Yahoo! ,1,1,0.8475
@beyoncatweets How awesome? Lol... I guess they were good but it could still be better ,0,1,0.81
"Ate @ Ringside Lounge right across from our hotel. Food was alot n good! They serve 32 oz (0,9l) mix drinks for 11 dollars. Crazy stuff ",1,1,0.2003
"@hollyknowsbest LMAO nope! i'm on a healthy diet, even though my mmum made spag bol for dinner at like 1 earlier  i couldnt resist it!",0,1,0.755
I literally in holiday mood already ,1,1,0.4019
My head isn't healing well it feels that way ,0,0,-0.2057
"Today JB 3D Concert Experience movie with @Fernandaz, @marianoel1, @mariaeugenia_z &amp; Johi ",1,0,0.0
"back from meeting where no one showed up, lol... crazy, niggas dont take gettin money seriously...aboutta roll something up ",1,0,-0.7184
Dad having fever again.. Not looking too good ,0,0,-0.3412
is cooking all by herself for her sister. ,1,0,0.0
"Dear God.  Please make it rain tomorrow.  Thunderstorms would also be appreciated if possible, but they're not essential. Thank you ",1,1,0.358
"@Hybrid911 ouchies! i never liked suncream...i gave up using it a while ago, haha  hope ur sunburn gets better soon.",1,1,0.7757
Got fried today at the swapmeet ,0,0,0.0
I'm sad to miss Baccalaureate Mass today ,0,0,-0.5719
http://twitpic.com/69m37 Come home soon my twin ,0,0,0.0
@LindzNicole so let's make it right! ,1,0,0.0
"beautiful day  I like that! Jump trampoline and listen to music loud, can it get better?",1,1,0.8622
Feeling really bad for the Penguins tonight  ,0,0,-0.5095
@ELBfoto Congrats on the anniversary! A dozen years is a lot. I applaud your attention span ,1,1,0.7712
@YoungQ Hey! That's craziness! Always something going on when you're on tour! ,1,0,-0.5386
@LittlePinkStone I'm not either. We should have went out *snicker* Although I am enjoying listening to RR and my beer ,1,1,0.5267
"@geekrebel http://twitpic.com/7j5mc - He looks different from yesterday, sure you got the right baby  love the name!",1,1,0.7777
I guess alls well that ends well...I'm still single for the record lol. Leaving Cleveland will be bittersweet to ,0,1,0.5574
"Good Morning/Good Night! Zzzzzzzzzz, lol! Leh sum2 else wake me! ",1,1,0.7633
"I feel guilty, cause i stole something today..not really stole just borrowed without consent ",0,0,-0.5371
@pwbbounce uh oh  but is that not good? its not got a hidden meaning or anything that i dont know about has it?,0,0,-0.5376
Wow...just got done watching making te band...very dramatic! I did shed a tear ,0,0,0.0
"finished filming! such a fun weekend, I'm on such a high! ",1,1,0.5972
Why is my programming teacher teaching us about mortgages? ,0,0,0.0
i still look like quasi modo ,0,1,0.3612
WTF?! no pounds lost since I stopped the lemon diet!!!!  sux....,0,0,-0.7627
"Yeah, face = sorta warm. Haha. I've missed home. ",1,1,0.5153
I'm in SAT math class...omgee this is soooo boring!! I wanna sleep uhg! I'm singing usher in my head ,1,0,-0.4898
@danielr23 what song that's most playing in your ipod? Do you have a plan or a dream to have a band n have a career in music?? ,1,1,0.5622
@JessKeir Ah I have to study hun and feel so bored to do so too meh ,0,0,-0.5138
So...My having learned of the existence of @DearRobot has really changed the way I tweet. I think this makes me an even bigger toolbox. ,0,0,0.0
@jennsbookshelf that'd be so sweet of you  Did find a $99 (after fees) from Bos to BWI...this is really looking possible.,1,1,0.5949
"@RobertHolik im looking forward to our future chats too, i actually talk with all of my followers, so feel free to connect ",1,1,0.5542
@BT http://blip.fm/~7mftj via LOL Reminded of this song. ,1,1,0.5473
"@vickixashton i have.. 19 days left, and.. I Have 10 exams left! ",0,0,0.0
@HelloEli exacly ,0,0,0.0
with cancer. so sad!  feel bad for the parents of these children! tragedys are as they say tragic!,0,0,-0.9519
Hot day with cool people! ,1,1,0.3802
Last night of band camp ,0,0,0.0
@veganedge Nice pic .. my mate ! ,1,1,0.4753
@scynet thanks for the rt mentioning @galtime ,1,1,0.4404
no updates ,0,0,-0.296
@frans_s Wow ,1,1,0.5859
"@soaps3 Me too  I am a bad daughter, no church going for me. I hope to sleep until noon again tomorrow, lol",0,0,0.0
@pcfhjeff I just downloaded your EP and I really like it ,1,1,0.4201
"owww, nosebleed. ",1,0,0.0
@ericajo42 @saynerd01 oh look! it's our new house in santa barbara! http://i41.tinypic.com/2hi2t4y.jpg  hahha i wish ,0,1,0.508
working on my todo list before I have to go to work at Aaron's Books - 5 boxes coming in??? Yikes. ,1,0,0.0
"is still on the job hunt, plus this heat, man my life is really at a stand still ",0,0,0.0
in my apt...work was crazy today ,0,0,-0.34
@astridaml thanx. Ini makan lagi disiapin. Obviously for me maag causes brain drain also. ,1,0,0.0
just studing again... ,0,0,0.0
@mamakatslosinit aww that stinks ,0,0,-0.25
I still need a date for May 1st!!!  X-Men Origins: Wolverine was supposed to go w/@hasanlc but he saw the premiere last month ,0,0,0.0
"@dannygokey you need an assistant to keep you on track! I'm very organized, so much that it's scary! Where do I apply? ",1,0,-0.5837
"Soo embarassed I didn't see the tweets I've been getting from kind followers.    I'll do better, I promise!!!",0,1,0.8582
My tummy hurts..  cant sleep &amp; i need someone to talk to...,0,0,0.0
@madaboutbooks Am reading WTLF at minute. Want to read Lost Riders but all 4 copies are out  Alice (am in english in library),0,0,-0.128
@AndreaGenevieve awww. She's not gone forever. ,0,0,0.0
Tomorrow darryn has a primary fun day   she begged me to stay home so I could watch her...but I can't ,0,1,0.5106
@littlesunflower happy bday have a good day  x,1,1,0.765
If anyone is interested in stylish functional micro greenhouses / Slug annoyers I may do an instructable. ,1,1,0.0516
can't find anything nice to wear to da beach ,0,0,-0.3252
Starting to look a little scary outside. ,0,0,-0.4417
@knitwits1 thank you for your comment hun ,1,1,0.3612
"i am on sofa with a migraine, ",0,0,0.0
@heiditalbot Right I need to start a campaign then! Were not letting you off that easy ,1,1,0.4926
"Have to get up early for school tomorrow   too tired.....but I know I'll be able to do it anyways, lol! ;)",0,1,0.6114
@pollypreggers  I'm likin it! ,1,0,0.0
wow i just watched the MTV movie awards on there website. poor Rob during the kiss i hope that was all intentional   ,0,1,0.7003
@aaroncorby altho i have been texting @5LiveF1 but havent heard mine ,0,0,0.0
FREE UNLIMITED RINGTONES!!! - http://tinyurl.com/freeringring - USA ONLY - Awesome 4 iphone ,1,1,0.8753
"Yeah that is awesome, I can't wait.  @Irm2d2",1,1,0.743
"Not to worry, noone got that one. Next question starts in 1 minute, get your thinking caps on ",1,1,0.3412
@cross_harps I didn't read the shoulder bit (so I can't know! haha) will start searching Viggo at toes and work my way up ,1,0,0.0
in the mean time....whoooosaaaa...enjoying the wheater ,1,0,0.0
@billpmay Yay for Ali  she's so smart that one! ;),1,1,0.8435
@Shatohin Ð? Ñ? ÑÐµÑÐµÐ· 10 ÑÐ°Ñ?Ð¾Ð² ÑÐ¾Ð»ÑÐºÐ¾ Ð·Ð°Ð¼ÐµÑÐ¸Ð» ,1,0,0.0
YAY! My temperature went down!  I can have dinner with the family tonight.,1,1,0.6924
Fed up with all this rain..... ,0,0,0.0
@froovyjosie thank god for that haha ,1,1,0.765
Off to my first day of work ,1,0,0.0
watching 'so you think you can dance' ,1,0,0.0
I just coughed so much I puked. Ughh I feel so sick. ,0,0,-0.8084
At the theater w/ @stevewoolf about to see Drag Me To Hell. Looking forward to what is hopefully a good scare. ,1,0,-0.6249
I Am Bored My Bro And Sis Think Its Funny To Belly Flop Eachother Then Knock Over Everything UHHHH ,0,0,-0.1531
@SuperBadVixen Hey girl i was busy at work my bad....Is ya mouth wire-free now? ,1,0,0.0
"Awww.  Some ppl just aren't meant 2 be your friends in this life, and it's okay.  Life lessons b4 bed...nite.  ",1,1,0.6124
@saudarilee It was a pleasure &quot;babysitting&quot; 2/3 of your triplets. I'm sorry abt what  happened to Jannah! I'm still feeling guilty abt it ,0,1,0.3382
"@Trevorjpearson Wow, I guess you are cool afterall ",1,1,0.7269
Reliving childhood memories with Legos. This could get expensive ,0,0,0.0
I need dinner but I'm still waiting for a fax from work.  Also I have no food. Attn! Need partner who cooks. I am inept. lol,0,1,0.2942
@carbamazepine you can help with organization and design tips AND help make sure the game is perfect. ,1,1,0.886
@gfalcone601 I've seen up to episode 8 already... it's awesome!  x,1,1,0.6588
i'm very boring and without friends Estoy muy aburrida y sin amigos ,0,0,-0.8293
reading a novel ,1,1,0.3182
@arryanb yes i did and ma tummy hurt   thks boo.,0,1,0.1779
home missing the baby  @ 192nd Ter &amp; 25th Ct http://loopt.us/T-bDSw.t,0,0,-0.296
@mileycyrus hiii miley..   how do you do    ??     .,1,0,0.0
In shock bob? Yeeaaahh riight!;-) ,1,0,-0.4389
never knew places in england were this lovely ,1,1,0.6705
is headed to bed... I so don't wanna get up in the morning. ,0,0,0.0
"RIP Gillybob and Frieda, you guys were good companions. No other fish would've understood me as well as you guys have. ",0,1,0.4215
just woke up from an accidental sleep. ,0,0,-0.0772
no one cares about me in my family  it has taken three years for my mother to buy me some curtains,0,1,0.2023
"@shiggser nah, back to work ",0,0,-0.1027
"Goin 4 a run!  love runnin at nite in the dark, except when there's people creepin! lol  hope your nights goin well &amp; ya sleep tight! ",1,1,0.9165
Time to head out of the studio early today. We are still a bit hungover from last night. ,0,0,0.0
"Just to let you know: Forever, actually means forever. ",0,0,0.0
@3nang HAHAH cannot! My singing's like shit  &amp; YOU MADE THE 'HOW WELL DO YOU KNOW ME' QUIZ ALR? Me&amp;June wanted to make tgt with you tmr ,0,0,-0.4886
"i doing too many things at once, thats what im doing ",1,0,0.0
"@NinjaLikesCheez *tears* video games = death.  @damnELECTRIC if you send me the money, I so would, but i'm hella broke and up at 2:15am.  ",0,0,-0.7642
@thefabgiver you ready? ,1,1,0.3612
@truthsabouttrav haha that rain forest one actually made me laugh out loud... bravo ,1,1,0.765
"@alexwakeling don't show off, i'm jealous ",0,0,-0.4588
@deanaontheradio yep you can do it! just stay focused! ,1,1,0.658
I dont feel good  and Theres noone else to keep an eye on my group im the only one,0,0,-0.3412
I just played sims with my friends  Sims is fun again! Cause their are no problems anymore,1,1,0.636
"demons! , i will stay in my house until wednesday! i don't want  I HATEEEE IT! Â¬Â¬",0,0,-0.2728
Also - do the reactive lenses really not work in cars? ,0,0,0.0
Collecta.com: collecta maybe... I'd like to see finda  and displaya... not waita ,0,1,0.3612
@moltke happy to have made you happy ,1,1,0.8126
"&quot;Did you just kill a guy with an appetizer?&quot; &quot;I don't know, maybe.&quot; XD Tihi.  Leverage FOR THE WIN!",1,0,-0.6216
@clicktokill That's kinda gay. I have a real nice pic of me now  /vainVAIN VAIINNNNNNN hahahaha,0,1,0.4215
"@marieosmond You were up at 2 am too? Aw why  you must be so sleepy. I love you, very much - beyond words. See ya @ the signing, MY angel.",0,1,0.6682
havent looked at this thing in a long time.takes time to log on. Need sleep or fruit drink. Cant wait for tonight ,1,0,0.0
"Just painted my nails and watched family guy with dad... going to sleep,  I'm tired  ",1,0,-0.4404
Nothing to do in Phuket..  I miss scuba diving...!! .. sooo much!,0,0,-0.3561
@bevysmith dying inside reading abt the fab nite i missed ,0,1,0.2023
wants edward cullen  (the car),0,0,0.0
@jellybear89 of course you should be ready. Problem is... I had a pack in my car for about 2 years.  Never got used. ,0,0,-0.0516
@zebs My pleasure.  Email me at gabe at rmbrME dot com and I'll shoot it along to you.  Always interested in connecting!,1,1,0.6476
@zoovroo thats great hah!! Btw have fun at prom!!!! ,1,1,0.8614
@thescramble can I be your friend? ,1,1,0.4939
"@pumpupositive No prob on the sun...heading your way!!! BTW, A little restriction is exactly what I need...I have no self control lately! ",0,0,-0.7488
"@antoniothonis yes, apparently it's our party ",1,1,0.6597
@DJMALIKSHABAZZ hey you!!! What's good with you??? Xxxooo ,1,1,0.6504
Troubles with internet ,0,0,-0.4588
"@Joe_Constanty if you haven't left for SH yet, you should come out to Souk tonight: great hookah  (say no to drugs, kids)",1,1,0.4404
@bethyesterday I know the final project is amazing because you're amazing at what you do! Thank you so much! ,1,1,0.893
yay! finally my room is clean ,1,1,0.75
Crap Steve Jobs had a liver transplant???? Oh man thats not good  LOL,0,0,-0.8334
You up for it City? Can you defeat Utd at their ground and cause a dent in their title ambitions ... fingers crossed that you can and do ,1,0,-0.4588
"Mia's room is clean  Kitchen, living room and our room are done too. Sam's room is next &amp; then dusting &amp; vacumning &amp; should be all good",1,1,0.6808
"@CHRISDJMOYLES FATTY!!! you're back!! yay, we can argue again hopefully ",1,1,0.7067
"@dshanley the tide was a bit high by the time I got the board. Still, I was able to catch some good ones though ",1,1,0.4404
"I hate old RM cases, one just bit me ",0,0,-0.5719
I'm even more kawawa than before   Fuck my life. Seriously. Fuck it.,0,0,-0.8271
I suppose i should do some coursework.... ,0,0,0.0
@ work.   I'm bored to death,0,0,-0.7184
@Cathay_Pacific just wanted to say a big thank you for being such a great airline. As a travel writer things like this mean A LOT! ,1,1,0.8553
...as smart as drug dealers who have been caught multiple time out there  as precious as the water park in palmdale during the summer...,1,1,0.7506
@marcelgv39 okay. thanks. ,1,1,0.5859
Doesn't like the Cheesecake Factory at all... And doesn't really get people's obsession with it.  blech.,0,0,-0.5823
Recording some songs....so fun ,1,1,0.5106
Happy Mother's Day!!  xox,1,1,0.6467
Watching SYTYCD. ,1,0,0.0
shopping online ,1,0,0.0
"missing my brother 2day it would be his 48thb-day luv u bro, miss u terribly  sad",0,0,-0.8591
fabulous saturday night!!! how lucky am i...incredible weekend ,1,1,0.795
Im bed with jon ,1,0,0.0
"Sh t, I'm getting even more sad. I'm currently at the library and j think it'll be the last one tooooo ",0,0,-0.5256
@SleeplessNights that is cute... ,1,0,0.0
"Ugh, he hasn't updated in forever!!!  that sucks! I'm gonna e-mail him!",0,0,-0.7556
MTV awards are not on in my area ,0,1,0.4588
"Am sat on a hostel balcony over looking MACBA, realising the owners gave me the best spot in the house- I'm lit from my room behind me ",1,1,0.6369
@ChristianaZhu just joined AIESEC ,1,0,0.0
when my dad's gone back to work then I'll go and do my room some more... until then I'm not budging from playing bouncing balls ,1,0,-0.1511
wow.... for reals.. ,0,0,0.0
@VeggieChefMayra I'm hoping you have some helpful tips to start the raw foods diet because I don't have ANY idea how to start lol Thanks ,1,1,0.8834
"@ree_i No, but GOD I wanted to!!!! Collective Soul at Bayfest was AWESOME...I made hubby go into the mosh pitt with me!  We had a BLAST!",1,1,0.6505
"Hanging out with Beth, she's letting me try on her clothes! ",1,0,0.0
@allybaba555 You kidding? People at cons are amazing at Guitar Hero/Rock Band...I would get destroyed....but not too badly ,1,1,0.7753
in hk now..the flight was ok...watched he's just not that into you...justin long ,1,0,0.0
"@xJuLondon tell me, please ",0,1,0.3182
@itsKarenJ yo q de q' ? =D .. I HAVE 51 FOLLOWERÂ´S! MAKE FEEL AWESOME AND SO HAPPY! THEY RE THE BEST OF THE WORLD ,1,1,0.9714
@kaeeeep yeah! i know! it was horrible!!!! ugh. saddening. ,0,0,-0.7156
@kaitybug117 bootcamp at corey beach? where's that and what's it all about? beach bootcamp is an amazing concept  ,1,1,0.6322
@Vanilla_B  way unprofessional i love it lol,1,1,0.5719
just learn how to use twitter. I am new. ,1,0,0.0
@mfowmes Im exausted..was running in the Race For Life and ive been up since 6.15 so bit tired! Me quiet...thats a first?! lol ,1,0,-0.2411
"@ddlovato Wish i could , but im in england  xx",0,1,0.2144
watching Storm Stories; haha! ,1,1,0.5093
@ChrisBrownGirl yea i am  x,1,0,0.0
"@earlybird44 no scarve, but a good excuse to go shopping this weekend for a new skirt ",1,1,0.5719
@RetroRewind great show today ,1,1,0.6249
"Got a chicken salad #chamlunch which is pretty tasty, but my wooden fork just snapped ",0,1,0.2732
Aww the Ford Fiesta Movement site is up!!  SO COOL!   Check it! ----&gt; http://www.fiestamovement.com/drivers/view/22,1,1,0.8529
writin a new song  Thank you Life for your inspiration,1,1,0.7096
"morning, sun is actually shining today!! gtta go to the opticians later ",0,0,0.0
I WISH I WOULDNT GET SO DRUNK  LOL FUNNY THO ,0,1,0.8805
@xgabypinkx my mates got one and sez its amazing..i just got a new vista and its crap..the wireless is useless ,0,0,-0.4215
STARVIN!! That free veggie burger 4 lunch aint do nuthin 4 me  .... Hmmm sonics wld b good tho..,0,1,0.7772
@AlanReidHall no I don't use that appl! I looked at it and it sent off the tweet. Tried to delete but it won't go away ,0,0,-0.2244
@EmilieSamuelsen aww its the excitement of it all  not weird! lmaooooo i would take an umbrella (Y) unfortunatly its most likely haha! x,1,1,0.8215
