text,true_label,predicted_label,raw_response
"@burnbright well, can't wait  no one on my flist has star trek layout yet, so sad ",1,0,negative
To all of my wasted days ,0,0,Negative
Okay. Seriously. I wanna sleep.  Idk if I'll be online tomorrow cause of my dad.  Love you guys. Goodnight.,0,0,Negative
"this pg's unsafe? or is it coz i didnt clear cache.Either way, this trip's not enuf.  ",0,0,Negative
@WaKeUp2MuSiC i knoww!! aww its love babyyy ,1,1,positive
"Hanging out with Beth, she's letting me try on her clothes! ",1,1,Positive
@Jayda_B ...and Xander still havent been invited ,0,0,Negative
@heyhoneymae hey fellow asmallworld-er! I am following you  Keep in touch you.,1,1,Positive.
bin up since 7.30 bin for a run and then Tescos and just caught up on neighbours!  work at 2.30 ,0,1,positive
"@Jperryman73 I already gave her my advice a couple of months ago, you know, when he did it to her last time  Maybe now she takes it?",0,0,Negative
Soaking up the sun by the pool @ 6:00 PM on a Sunday evening! Can't wait for summer. 4-days to go ,1,1,Positive.
Considering I may be the first Pigeon in the world in need of mobile phone ,1,1,Positive
#spamaster is the new spamshit. ,1,0,Negative
@annabelle327 I know I am having Annbandonment and Franbandonment issues  At least I will have Fran on Wednesday and Sunday.,0,0,negative
"goodnighttt world, i have to rise and shine early tomorrow ",0,1,Positive
Wisdom tooth growing and boy does it hurt.  Mostly lazy day. I love days off.,0,0,Negative
mail from yesterday slid under my door - $10 gift certificate for Bookmans! Yippie! Got it for not driving ,1,1,Positive
Good morning. almost time to head for school again  ..  let's grab some coffee first,0,1,Positive.
"@Addicted2Golf Can't wait to hear what U found, Blaine. We love demo day! It's like speed dating for #golfers.  http://golftwitt.com/DD2",1,1,Positive
God I hate it when I get my anxiety episodes just spent the last hour making sure no one was inside my house ,0,0,Negative
@ZenaFoster Thanks for the #FF * Your The Best Ever-Ever-Ever  lmao,1,1,Positive
"@Archimage You can sell anything without lying at all, though. That's the more impressive art. ",1,1,Positive.
We're getting violent.  Program randomly decided to hate us when we took a break to get food ,0,0,Negative
aww i feel well sorry for teri ,0,1,Positive
"@ashleysteel http://twitpic.com/6rv7j - Aww, what a cutie!  P.S. We're moving to Solana Beach on July 1...look forward to hanging out!",1,1,positive.
just had cereal ,1,0,Neutral
off today and it's supposed to rain wtf  just my luck,0,0,negative.
"Tough choices: Pay my phone bill, or go to New York, unfortunately they are both the same price ",0,0,Negative
grrrrrrr I can't open my emails ,0,0,Negative
@DonnieWahlberg Morning! Will you @jasonjmikemgmt be giving out tix to houston as well??  i want 2 make the trip &amp; there is sh*t left! ,0,0,negative
"@staaceeyy sorry :'( ily?   i cant help it stacey, ive listened to what every fuckhead has said to me and ive just grown to believe it",0,0,Negative
u prolly juts need a hug and a kiss!!! all will be okay ;) ..... i hope ,0,1,Positive
@BlazinSquad hope u have a good gig tonight! great performance this mornin on gmtv - well done  x,1,1,Positive
@lexy315 I'm sad the Lakers lost today  They got too confident!,0,0,Negative
At work my head hurts a little due to my neck! I hate when I sleep wrong! ,0,0,Negative
TristanJoey@MitchelMusso seriously dude. whoa. TLT is going to be so much fun later this week! ,1,1,Positive
Off to work soon. ,0,0,Negative
@endlessblush Still feral   It's impeding on my eating plans too. Not cool.,0,0,Negative
@JfB57 right now I'm watching how I can consolidate my debt into one by a smiling person ,1,1,Positive
Start making money online the easy way! http://tinyurl.com/ll9knu - I made $13 today already ,1,1,Positive
Just spent a frustrating 3hrs getting 3.0. Does anyone know how to get my apps back in line? They are scattered across 11 pages ,0,0,Negative
"I had some time to kill, and found my first local cache ",1,1,positive.
"@Wo0t I joined, and sorry. ",1,0,Negative
@loic They're all out on interviews ,1,0,Neutral
"@suzylake Awe, your baby is in kindergarten. ",0,1,positive
Goodnight Twitterverse ,1,1,Positive
@LucasHilton why did you log off so fast? ,0,0,Negative.
@christineoh haha i approve your listening choice. tell those boys i said yo and to behave ,1,1,Positive
@izzie11 Haha yeah at 5am. Can't wait to nap! @Shallowlikeyou I love it! Thanks sooo much!  Did Grieves message you back?,1,1,Positive.
"@timeislife yes, I can. But I don't want to puzzle my followers by Japanese. ( I have already been puzzling them enough  )",1,0,Negative
"@TweetyDeee lmaoooooo.. girl I've been doing this since I was 17, Imma be 30 this year. I taught myself ",1,1,Positive
Maybe next year E3... ,0,0,Negative
@Motmunter I knew that   my dad made us watch the one new footage first- it was the same footage ,1,0,Negative
My thoughts and prayers go to David Cook and his fam. RIP Adam Cook  ,0,0,Negative
@tommcfly oh my.. Busted days. we miss it too. :')  I'm glad you played with JB Tom! ,1,1,Positive
"@xsugarrush (CONT.) problem. Please Becky. Stop doing it. If your mom won't listen, I will. Just please don't sut yourself! ",0,0,Negative
"Off in search of a vanilla latte. Last day of the month, so make it matter.  http://blip.fm/~7djnj",1,1,Positive
At the eye doctors... I'm missing a day at Six Flags Great America for this ,0,0,Negative
"Is it me, or did facebook servers just die?  ",0,0,Negative
"Also, the new IT program now blocks all Wordpress blogs. Grrrr. And Twitter (hello TweetDeck!). Time for that home office... ",1,0,negative
@danlev Just stay in LA for an extra week or two this summer so I can come visit.  When is BlizzCon?,1,0,Neutral.
@DreamasaurusRex Have you seen the video of that girl dying? It's awful. ,0,0,Negative
just finished watching LITTLE MAN for the 100th time...my sisters r obsessed w/ that movie ,1,1,Positive
"wasting some time and avoiding real life at the moment, sick of school work and still have more too do ",0,0,negative
wasting more time trying to figure out &quot;selective twitter&quot; for facebook  #fb,0,0,Negative
"Okay, falling asleep in mid tweet is definately a sign that I should go to sleep. Goodnight world ",1,1,Positive
SIMS 3  SIMS 3  SIMS 3  I NEED IT NOOWW  hahaa,0,1,Positive
@iamjonathancook WHY ARENT YOU GUYS COMING TO TORONTOS WARPED TOUR DATE ?! same with atl. whatta dissapointment ,0,0,Negative
Today's gonna be a good day. ,1,1,Positive
Matty and Shinji are two of the boys in the world that I Love so much. &lt;3 Stay awesome guys! ,1,1,Positive.
@aplusk that's kinda mean! we try at least ,0,0,Negative
@TotesMcGotes See that's what I need but haven't had time to get more powder  must do that tomorrow....,0,1,Positive
@EricWorre Glad you're applying the money management principle Eric!  See you tonight at NMPRO,1,1,Positive.
"@lorraine_p oh, maybe...? Good excuse ",1,0,Negative
@StaceyNuveman I smell Cindy Bristow!  Hope to see you at the yard later today!,1,1,Positive
@GCThesongwriter How did the finals go ? ,1,0,Neutral
At Las Vegas Intr. airport get home at 12:00pm bored to death ,0,0,Negative.
"@DennisCalero That was about the direct # question, BTW. ",1,0,Neutral
onlinee ,1,0,negative
whaaaa?? people are fallowing me randomly! i feel loved  haha. ok no. but hi fallowers. p ps.if you dont say hi back your a loser. :p,1,0,Negative
I desperatly need to lose some weight !  But I hate working out... And I'm a chocolate cake superaddict.  ,0,0,Negative.
My bathtub is angry at me ,0,0,Negative
back to work today ,1,0,negative
all my neighbors feel the urge to move in/out saturdays early in the morning ,0,0,Negative
Misssing that booooooooo ,1,1,Positive
"@fontenot619 E-mailed, new stepfathaaaa!  ",1,1,Positive
Heartburn...? WTF!?! i cant win ,0,0,Negative
@katelynschmidt i recon flippin needs to come out right now...are u team taylor or robert? or edward or jacob?  im edward all the way ,1,1,Positive
@humminbird I'm not going to be @indyhall on Fri but we need some Tbar time soon ,1,1,Positive
Gettin ready for VBS today! Day 1 ,1,1,Positive
LIz Hodgins is addicted to Twitter! Shes such a twit! lol  Your the only person who can read this Liz so its OK!,1,0,Negative
@thomaspb dam  well at least can you get me some Spock ears,0,1,Positive.
@brandamc mmm chocolate!!! damn even when im sick i still wanna eat it   I think i should try n go back to sleep for awhile..lol,0,1,Positive
can you say OMFG I sure can !! ,1,1,Positive
@drummersgirl33 does that include the 4 boxes of china I sent home with G today????  ,1,0,negative
Im watching the movie awards  TTYL.,1,1,positive
"2 more days of school left. YAY. cake next period. then sudoku. heheh, now this i what i call school. ",1,1,Positive
"@jefftakeover aw man, that's really really sad. ",0,0,Negative.
leavin the r-side soon... i'm actually gunna miss it ,0,0,Negative.
@saffron_gib aw happy bday for yesterday  its anoyin tho sumtyms wen he dusnt reply to ppl. u gt any1 else famous to say hapy bday to u? x,1,0,Negative
"Gone to pack my stuff for the rest of the werrk, living with my best friend ",1,1,Positive
"@Jonperezinsd Yeah I'm super full too, but not sleepy. ",0,1,Positive.
lost in dc for like 45 mins....WTF!! on my way to the burg tired as shit ,0,0,Negative.
I'm currently listening to Matchbox20's Disease. I don't know if I could go to Adrian's funeral. I totallly feel sorry he's gone forever. ,0,0,Negative
@NCStateFair would love to taste it ,1,1,Positive
Where is Stanford U CS193P Lecture 5? It's already Monday leh... ,0,0,Negative
You know what the best feeling in the world is?! Being lied to.. it's wonderful. Cause then you find out...and its so fun! ,0,0,Negative
Going in @ 2:30 today. Gotta make the most of time left but not sure what I should do. TV I guess....ugh 2:30 ,0,0,Negative
"back from school, It has rained nearly all day  it is cold!! and I have had damned if I do ya stuck in my head all day!! ",0,0,Negative
@perrynoble Yay! you will be in my home city  I love it here in San Diego!!,1,1,Positive
"@m_hardwick at the same time, no. ",0,0,Negative.
loves the rain  http://plurk.com/p/uab6g,1,1,Positive
is feeling really awkward right now. ,0,0,Negative
#dpbcon 18mi backup to merge onto 495. ,0,0,Negative
"@fredlero Yeah it sucks big time, now i'm stuck with 5 weeks of holiday and nowhere to go! I feel sorry for the Tibetans ",0,0,Negative
The graduation dance was soo SAD! Girls and guys were crying... even me...  MISS ALL OF U!!!,0,0,Negative
4 days at work then IoW festy yay ,1,1,positive
@MelFresh27 Do you think? :p I genuinely can't sleep though.. Which is very frustrating.. ,0,0,Negative.
"@BodyRockin now I would have thought with all the beautiful women your represent, that they would be all over your page! ",1,0,Negative
"@Brendacopeland Love it. Twilight Zone, episode &quot;How To Serve Man.&quot; One of my favs. Even The Simpsons did it.  ",1,1,Positive.
@teresa_most Good luck tomorrow! And hope you're enjoying your new place ,1,1,Positive
@timeishort heya  follow me back? lol,1,0,Negative
"Off to my wifes nieces 16th birthday bash, not drinking tho, on driving duties ",0,1,Positive
"@snekums I don't even get to go if I win, gotta go to work, but still, power in numbers! Hope it's #Carmen for everyone's sake! ",1,1,Positive
@olliesebastian ...hell yeah it will ,1,1,Positive
"@rlanzara If they were, they'd look like envious oompa loompas ",1,0,negative
i totally DONT understand my new phone at all ,0,0,Negative
Early(ish) night tonight - I'm doing overtime at work tomorrow again  boo for working on a Saturday!,0,0,Negative
Changed my username for the hell of it ,1,0,Negative
Almost had to put my dog to sleep..yesterday was a shitty day ,0,0,Negative
@wilw I would definitely love to play some poker ,1,1,Positive
@xoxnaquel very true! lol  whats your favorite jb video?,1,1,Positive
@Hamer30 She had it going on in her day ,1,1,Positive
@ThomasGudgeon what's your dream? ,1,0,Neutral
"@tferraro @soverpeck @rhetter ACTUALLY...a potato is a tuber, but it's also known as a root vegetable...hey I'm Irish and know my spuds ",1,1,Positive.
"@HelenGoytizolo I LOVE IT! WTF, you are so lucky you are good at pottery   It looks so good. I dont even know what to put on mine. ",0,1,Positive
@boogiesworld http://twitpic.com/6dhkd - Those floor boards look familiar.... Imperial Inks? If So. You're At The Best Of The Best ,1,1,Positive
Coffee is goooood. And Atashinchi no Danshi subed. That's not really good. Would be hard to concentrate for translation ,1,0,Mixed
 missed my dads phone call,0,0,Negative
